Tempo;Ocupação;E[N];E[W];Erro Little
41500;0.932958;9.538228;1020.197081;0.00000000000000710543
41600;0.930715;9.558569;1024.836256;0.00000000000000888178
41700;0.931845;9.578229;1026.766408;0.00000000000002842171
41800;0.930628;9.597560;1031.305948;0.00000000000002842171
41900;0.932353;9.611658;1035.291681;0.00000000000002131628
42000;0.932285;9.623500;1039.041180;0.00000000000002486900
42100;0.931207;9.632814;1037.190447;0.00000000000003019807
42200;0.933787;9.637302;1040.138530;0.00000000000002309264
42300;0.931579;9.641716;1035.138580;-0.00000000000000177636
42400;0.931847;9.648417;1035.678206;-0.00000000000001953993
42500;0.935437;9.655226;1036.230063;-0.00000000000001953993
42600;0.933241;9.662300;1036.811031;-0.00000000000001776357
42700;0.933840;9.670724;1034.937103;-0.00000000000002131628
42800;0.932777;9.680372;1035.799857;-0.00000000000001243450
42900;0.935405;9.686498;1038.876920;-0.00000000000001776357
43000;0.933229;9.691878;1041.876920;-0.00000000000004085621
43100;0.935866;9.696028;1042.141618;-0.00000000000002842171
43200;0.933700;9.699851;1042.372061;0.00000000000000177636
43300;0.943371;9.705091;1042.755383;0.00000000000001243450
43400;0.941197;9.711749;1043.291846;0.00000000000003019807
43500;0.939034;9.720411;1044.044134;0.00000000000003907985
43600;0.936880;9.734012;1037.659920;0.00000000000003552714
43700;0.934736;9.755789;1037.294401;0.00000000000000355271
43800;0.937015;9.780406;1039.761581;-0.00000000000000355271
43900;0.934880;9.803685;1044.615950;-0.00000000000000710543
44000;0.934706;9.825704;1049.347036;0.00000000000000000000
44100;0.934113;9.845034;1053.800981;0.00000000000000888178
44200;0.941873;9.863270;1053.035054;0.00000000000003019807
44300;0.939747;9.879380;1057.141334;0.00000000000003019807
44400;0.937630;9.895417;1061.247615;0.00000000000003019807
44500;0.935523;9.912659;1062.923726;0.00000000000001065814
44600;0.935367;9.930416;1064.655212;0.00000000000000355271
44700;0.935578;9.945857;1061.049657;0.00000000000005506706
44800;0.937567;9.962849;1062.703855;0.00000000000001776357
44900;0.935479;9.978522;1066.751474;0.00000000000001776357
45000;0.938480;9.992817;1068.115791;-0.00000000000003375078
45100;0.936400;10.008354;1072.153796;-0.00000000000003375078
45200;0.935724;10.023724;1073.631106;-0.00000000000001243450
45300;0.935872;10.036458;1074.826395;0.00000000000003907985
45400;0.941035;10.046160;1073.166300;0.00000000000007815970
45500;0.938967;10.057048;1076.695711;0.00000000000007993606
45600;0.936908;10.068976;1077.805917;0.00000000000009237056
45700;0.937410;10.082210;1076.535016;0.00000000000008704149
45800;0.937579;10.096221;1077.871645;0.00000000000009592327
45900;0.937687;10.110580;1079.245603;0.00000000000011013412
46000;0.938385;10.125941;1080.726920;0.00000000000008881784
46100;0.937634;10.138112;1084.378120;0.00000000000007993606
46200;0.940156;10.146749;1087.656176;0.00000000000010658141
46300;0.938126;10.152912;1090.672418;0.00000000000010835777
46400;0.939640;10.158057;1091.050526;0.00000000000010480505
46500;0.937619;10.164321;1091.549466;0.00000000000013145041
46600;0.939052;10.167998;1094.292583;0.00000000000010125234
46700;0.942919;10.170680;1094.402659;0.00000000000006927792
46800;0.940904;10.172452;1096.937221;0.00000000000006927792
46900;0.938898;10.177143;1094.743121;0.00000000000007105427
47000;0.938292;10.181921;1097.592394;0.00000000000003730349
47100;0.939451;10.185963;1095.339841;0.00000000000005506706
47200;0.939098;10.192351;1095.851855;0.00000000000003019807
47300;0.941028;10.194848;1095.946181;0.00000000000000355271
47400;0.939042;10.196547;1098.446181;0.00000000000000355271
47500;0.947111;10.196524;1100.761109;-0.00000000000000177636
47600;0.945121;10.196111;1103.033837;0.00000000000000000000
47700;0.943140;10.195700;1105.306564;0.00000000000000000000
47800;0.941167;10.195918;1105.135761;-0.00000000000001421085
47900;0.941226;10.198030;1105.171084;-0.00000000000000355271
48000;0.940101;10.201246;1105.326831;-0.00000000000002664535
48100;0.945373;10.201509;1107.658181;-0.00000000000000355271
48200;0.943412;10.201091;1109.915517;-0.00000000000000355271
