Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
21400;0,819272;4,035969;407,404435;6,57252E-14;0,009907
21500;0,826491;4,078036;411,632781;6,57252E-14;0,009907
21600;0,822665;4,119342;417,736068;6,483702E-14;0,009861
21700;0,828726;4,16145;420,016156;7,105427E-14;0,009908
21800;0,824924;4,209032;424,800422;6,039613E-14;0,009908
21900;0,828455;4,258837;429,808928;6,750156E-14;0,009909
22000;0,824689;4,309107;434,863962;8,171241E-14;0,009909
22100;0,828095;4,361793;438,161891;8,792966E-14;0,009955
22200;0,826194;4,420253;440,043172;7,371881E-14;0,010045
22300;0,835531;4,481675;444,183778;6,039613E-14;0,01009
22400;0,831801;4,549863;450,959859;5,417888E-14;0,010089
22500;0,828104;4,61853;459,809417;5,329071E-14;0,010044
22600;0,832144;4,685911;464,480623;2,664535E-14;0,010088
22700;0,828478;4,748968;472,813957;2,575717E-14;0,010044
22800;0,830362;4,808312;476,650086;3,28626E-14;0,010088
22900;0,832131;4,862354;482,025527;2,575717E-14;0,010087
23000;0,835617;4,911466;486,912605;3,819167E-14;0,010087
23100;0,832;4,968144;484,23685;1,865175E-14;0,01026
23200;0,833932;5,032022;490,51642;3,819167E-14;0,010259
23300;0,839299;5,088511;498,16093;4,263256E-14;0,010215
23400;0,835712;5,141974;503,440145;4,52971E-14;0,010214
23500;0,83447;5,197118;508,884499;2,4869E-14;0,010213
23600;0,83657;5,249763;509,853516;2,309264E-14;0,010297
23700;0,840824;5,305116;517,412594;1,154632E-14;0,010253
23800;0,837291;5,359595;522,78018;-7,10543E-15;0,010252
23900;0,843383;5,41626;526,213884;-8,8818E-16;0,010293
24000;0,839869;5,481322;530,450553;-1,865175E-14;0,010333
24100;0,840082;5,549338;537,104605;-2,04281E-14;0,010332
24200;0,840795;5,608909;545,12292;-5,32907E-15;0,010289
24300;0,842929;5,660143;552,375417;-7,99361E-15;0,010247
24400;0,842122;5,701576;558,708628;8,8818E-16;0,010205
24500;0,841872;5,738069;562,330764;-1,77636E-15;0,010204
24600;0,843826;5,768389;567,609443;-1,332268E-14;0,010163
24700;0,842949;5,79572;572,617156;-1,421085E-14;0,010121
24800;0,844645;5,817296;577,075769;-1,509903E-14;0,010081
24900;0,858664;5,839446;579,291664;-1,24345E-14;0,01008
25000;0,855229;5,865358;579,58087;-1,687539E-14;0,01012
25100;0,851822;5,893783;584,719209;-1,509903E-14;0,01008
25200;0,848441;5,926487;583,388541;-1,598721E-14;0,010159
25300;0,850128;5,965296;589,539041;-1,953993E-14;0,010119
25400;0,846781;6,001928;590,887505;-2,309264E-14;0,010157
25500;0,859204;6,038739;596,852063;-3,197442E-14;0,010118
25600;0,855848;6,076922;600,653319;-2,930989E-14;0,010117
25700;0,852518;6,115533;606,830925;-2,930989E-14;0,010078
25800;0,849213;6,155697;610,834531;-3,996803E-14;0,010078
25900;0,851627;6,194841;612,390752;-2,398082E-14;0,010116
26000;0,854509;6,234512;618,692055;-1,865175E-14;0,010077
26100;0,851235;6,275321;622,760019;-1,865175E-14;0,010077
26200;0,862724;6,310482;626,26749;-1,77636E-15;0,010076
26300;0,859444;6,343522;631,949308;-1,77636E-15;0,010038
