Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
19900;0,600116;1,47398;0,014736;-2,515498853661E-08;100,02407
20000;0,600184;1,474706;0,014742;-2,963446799065E-08;100,03355
20100;0,600193;1,474694;0,014742;-8,77878902905E-09;100,030199
20200;0,600191;1,47483;0,014744;-2,7847613104E-10;100,02896
20300;0,600248;1,475091;0,014746;1,69955849394E-09;100,036059
20400;0,600221;1,47474;0,014743;3,56501916876E-09;100,031618
20500;0,600211;1,474379;0,01474;-5,37980771E-11;100,02522
20600;0,600219;1,474536;0,014741;-4,05339162235E-09;100,026505
20700;0,60025;1,474644;0,014743;-8,75204397843E-09;100,026135
20800;0,600234;1,474674;0,014743;-1,80950943118E-09;100,024519
20900;0,600279;1,474912;0,014744;-8,07093281097E-09;100,033254
21000;0,600256;1,47475;0,014743;-8,57418247513E-09;100,029571
21100;0,600258;1,474964;0,014745;-3,82150688871E-09;100,028389
21200;0,600246;1,47521;0,014748;-2,24158780426E-09;100,0275
21300;0,600278;1,47523;0,014747;3,09484415872E-09;100,038451
21400;0,600268;1,474931;0,014743;6,2280358648E-10;100,043785
21500;0,600318;1,475125;0,014745;-5,56087709214E-09;100,044744
21600;0,60031;1,475184;0,014745;-4,70160355093E-09;100,045648
21700;0,600225;1,474546;0,014739;2,70156408355E-09;100,041935
21800;0,600219;1,47436;0,014737;-5,07403408179E-09;100,04367
21900;0,600238;1,474234;0,014736;-1,48112522247E-09;100,046301
22000;0,600193;1,474279;0,014736;-1,35539690582E-09;100,047227
22100;0,600241;1,474573;0,014738;-1,96476679371E-09;100,053303
22200;0,600317;1,475417;0,014745;1,444602037992E-08;100,064324
22300;0,600326;1,475376;0,014744;2,095264917124E-08;100,06426
22400;0,600337;1,475451;0,014745;2,759894290882E-08;100,06317
22500;0,60033;1,475448;0,014746;1,200699206727E-08;100,058978
22600;0,600332;1,475226;0,014744;1,270760985328E-08;100,059292
22700;0,600267;1,474789;0,014739;1,456109011144E-08;100,058018
22800;0,600239;1,474541;0,014736;1,691854789598E-08;100,060789
22900;0,600291;1,474712;0,014737;1,315756437137E-08;100,066507
23000;0,600309;1,475126;0,014741;1,470345978305E-08;100,068043
23100;0,600333;1,475351;0,014743;1,85244835027E-08;100,068961
23200;0,600365;1,47563;0,014745;2,177746849519E-08;100,075086
23300;0,600319;1,475315;0,014742;2,420006595116E-08;100,074378
23400;0,600277;1,47509;0,014741;2,91359774085E-08;100,070513
23500;0,600276;1,47523;0,014741;2,599329285147E-08;100,074979
23600;0,600231;1,475039;0,01474;1,595122567366E-08;100,072669
23700;0,600253;1,47507;0,01474;1,814395678146E-08;100,07384
23800;0,60021;1,4747;0,014737;1,55010249081E-08;100,067857
23900;0,600218;1,474465;0,014734;1,666191007388E-08;100,070502
24000;0,600167;1,474283;0,014733;1,426786688796E-08;100,065958
24100;0,600218;1,474821;0,014738;1,076901323671E-08;100,067344
24200;0,60017;1,474547;0,014737;7,11052106084E-09;100,059256
24300;0,600226;1,474662;0,014738;1,081095080124E-08;100,059342
24400;0,600228;1,474917;0,014741;1,20335410525E-08;100,058402
24500;0,600203;1,474652;0,014739;1,604812349676E-08;100,050735
24600;0,600193;1,474765;0,01474;1,941412963724E-08;100,050407
24700;0,600175;1,474602;0,014739;1,60548181416E-08;100,046964
24800;0,60018;1,474534;0,014738;1,816304995295E-08;100,050403
24900;0,600174;1,47444;0,014737;1,056155962686E-08;100,049799
25000;0,600178;1,474488;0,014738;-5,6021609574E-10;100,04788
25100;0,600167;1,474348;0,014736;2,92743251862E-09;100,048645
25200;0,600191;1,474925;0,014742;5,2782622717E-10;100,049643
25300;0,600157;1,47487;0,014741;-3,30743965549E-09;100,049328
25400;0,600152;1,474905;0,014742;-1,341255351228E-08;100,045315
25500;0,600209;1,47525;0,014745;-1,905913360467E-08;100,048196
25600;0,600157;1,475074;0,014744;-1,787404624309E-08;100,046211
25700;0,600104;1,474774;0,014742;-1,590153386744E-08;100,037626
25800;0,600109;1,474822;0,014742;-9,21853793301E-09;100,042054
25900;0,600117;1,474881;0,014742;-5,59164936575E-09;100,044247
26000;0,600154;1,475049;0,014743;-7,85159448569E-09;100,049115
26100;0,600154;1,475018;0,014743;-5,26192867056E-09;100,049119
26200;0,600173;1,474982;0,014743;-1,37727045324E-08;100,045725
26300;0,600146;1,474713;0,014741;-8,0702171612E-09;100,044411
26400;0,600139;1,474877;0,014743;-6,46090314582E-09;100,042121
26500;0,600144;1,474698;0,014741;-3,55636875504E-09;100,043849
26600;0,600157;1,474814;0,014741;-1,37788513932E-09;100,049098
26700;0,600122;1,474549;0,014739;-1,317640019316E-08;100,04161
26800;0,600128;1,474465;0,014738;-1,8817725156E-10;100,046866
26900;0,600067;1,474064;0,014734;1,288273132616E-08;100,043086
27000;0,60012;1,474314;0,014736;1,73477665566E-08;100,049778
27100;0,600101;1,474096;0,014734;1,334026045186E-08;100,048266
27200;0,60012;1,47424;0,014735;2,393816345148E-08;100,049816
27300;0,600164;1,474465;0,014736;2,4477943672E-08;100,055275
27400;0,60014;1,474216;0,014735;3,303240347918E-08;100,050474
27500;0,600151;1,474296;0,014736;3,567656503556E-08;100,049455
27600;0,600142;1,474239;0,014736;3,2954795115E-08;100,046159
27700;0,600157;1,474187;0,014735;3,31283804833E-08;100,049097
27800;0,600165;1,474494;0,014738;2,314807501236E-08;100,048921
27900;0,600148;1,474181;0,014735;3,86266729713E-09;100,047706
28000;0,600138;1,474085;0,014734;-1,08519260245E-09;100,0455
28100;0,600159;1,474194;0,014735;-1,31968569406E-09;100,045231
28200;0,600168;1,474306;0,014736;6,15637207879E-09;100,044716
28300;0,600186;1,474185;0,014736;1,274357908088E-08;100,042155
28400;0,600222;1,474479;0,014739;1,389934589646E-08;100,04243
28500;0,600229;1,474564;0,01474;1,648298164625E-08;100,041579
28600;0,600196;1,474155;0,014736;1,591622877939E-08;100,037622
28700;0,600198;1,474305;0,014737;1,485364409248E-08;100,039199
28800;0,600215;1,474095;0,014735;1,844320252076E-08;100,042361
28900;0,600162;1,473673;0,014731;2,327741754904E-08;100,036367
29000;0,600189;1,473876;0,014733;1,825930162624E-08;100,038103
29100;0,600167;1,473739;0,014732;1,956695405703E-08;100,035292
29200;0,600232;1,474169;0,014735;1,284889461495E-08;100,042877
29300;0,600195;1,473776;0,014732;1,730972898351E-08;100,039625
29400;0,600231;1,473873;0,014733;1,211586853067E-08;100,042007
29500;0,600182;1,473567;0,01473;1,234961133356E-08;100,037051
29600;0,600185;1,473556;0,014729;2,08952921632E-09;100,043851
29700;0,600175;1,473432;0,014728;-1,420727024914E-08;100,045354
29800;0,600205;1,473628;0,014729;-4,62223659348E-09;100,048893
29900;0,600209;1,473661;0,014729;-9,51858680764E-09;100,048395
30000;0,600201;1,473698;0,01473;-2,002912902199E-08;100,0468
30100;0,600207;1,47376;0,01473;-2,233553653141E-08;100,049867
30200;0,600242;1,474026;0,014733;-3,450139951511E-08;100,05043
30300;0,600247;1,474176;0,014734;-1,676897332104E-08;100,05231
30400;0,600249;1,474043;0,014733;-5,34362154525E-09;100,051546
30500;0,600201;1,473633;0,01473;-5,86200998853E-09;100,046328
30600;0,600165;1,473431;0,014729;-1,136946026215E-08;100,035425
30700;0,600191;1,473799;0,014732;1,49421297557E-09;100,03759
30800;0,60019;1,474037;0,014735;-2,195628856505E-08;100,0375
30900;0,600189;1,474006;0,014735;-1,697144758062E-08;100,035793
31000;0,600195;1,473971;0,014735;-2,590222769605E-08;100,03171
31100;0,600207;1,474205;0,014737;-3,159973105404E-08;100,034887
31200;0,600211;1,47414;0,014736;-3,857744723668E-08;100,034872
31300;0,60018;1,474016;0,014735;-2,893688999528E-08;100,035623
31400;0,600151;1,473875;0,014734;-3,129606573893E-08;100,034108
31500;0,600155;1,473832;0,014733;-4,273584375269E-08;100,035175
31600;0,600157;1,473963;0,014735;-1,987532294301E-08;100,028291
31700;0,60019;1,474158;0,014737;-1,451405862163E-08;100,031356
31800;0,600187;1,473947;0,014735;-9,84863945952E-09;100,029811
31900;0,600205;1,473985;0,014736;-1,480771616436E-08;100,026959
32000;0,600223;1,473887;0,014735;-1,010307726368E-08;100,029406
32100;0,600238;1,474095;0,014736;-2,821950007004E-08;100,030685
32200;0,60024;1,474063;0,014736;-3,459935471462E-08;100,031801
32300;0,600197;1,473882;0,014735;-3,780021384792E-08;100,027957
32400;0,600221;1,474083;0,014737;-4,001861930725E-08;100,028025
32500;0,600248;1,474189;0,014738;-3,380833435429E-08;100,026
32600;0,600238;1,47423;0,014738;-3,445406138169E-08;100,026288
32700;0,600209;1,474078;0,014737;-4,379809870336E-08;100,02318
32800;0,600225;1,474116;0,014738;-4,196196745632E-08;100,023841
32900;0,600177;1,47384;0,014735;-4,226057548351E-08;100,022705
33000;0,600177;1,473947;0,014736;-3,134997572651E-08;100,022061
33100;0,600183;1,474161;0,014738;-3,037789664262E-08;100,022326
33200;0,600178;1,473993;0,014737;-2,174213342698E-08;100,021476
33300;0,600192;1,474088;0,014738;-1,974806274063E-08;100,022823
33400;0,600161;1,473952;0,014737;-3,024956618525E-08;100,019461
33500;0,600138;1,473528;0,014733;-3,607251075621E-08;100,017403
33600;0,60012;1,473608;0,014734;-3,749452193169E-08;100,015238
33700;0,600111;1,473523;0,014733;-3,542031179471E-08;100,013264
33800;0,600114;1,473503;0,014733;-3,265891534987E-08;100,01497
33900;0,600101;1,47341;0,014732;-3,970591633262E-08;100,013038
34000;0,600073;1,473182;0,014731;-4,252797580762E-08;100,008412
34100;0,600067;1,473083;0,01473;-4,05935400849E-08;100,006422
34200;0,600054;1,472982;0,014729;-4,00447766058E-08;100,003538
34300;0,600037;1,473056;0,01473;-4,854381252528E-08;100,003994
34400;0,599978;1,472799;0,014728;-6,106338812373E-08;100,00093
34500;0,59998;1,472925;0,014729;-5,564830618532E-08;99,999623
34600;0,599972;1,472854;0,014728;-5,701267302705E-08;100,000925
34700;0,59997;1,472713;0,014727;-4,644305384716E-08;100,004121
34800;0,600018;1,472835;0,014727;-4,05617628374E-08;100,008851
34900;0,599969;1,472587;0,014726;-3,967713757547E-08;99,99894
35000;0,599953;1,472272;0,014723;-4,0357815978E-08;99,998029
35100;0,59996;1,472224;0,014722;-3,786779911863E-08;100,000285
35200;0,599995;1,472579;0,014725;-4,047430923748E-08;100,005852
35300;0,599993;1,472479;0,014723;-3,434391193657E-08;100,010737
35400;0,600019;1,472637;0,014725;-3,599428577417E-08;100,011384
35500;0,600018;1,472692;0,014725;-3,902735778993E-08;100,010648
35600;0,600031;1,472611;0,014725;-4,487595783864E-08;100,010309
35700;0,600039;1,47274;0,014726;-6,13328272614E-08;100,011036
35800;0,600037;1,472727;0,014726;-6,145157227522E-08;100,008547
35900;0,600072;1,472924;0,014727;-5,629939625607E-08;100,012674
36000;0,600057;1,472846;0,014727;-4,997305613763E-08;100,009389
36100;0,600079;1,472975;0,014728;-5,62233490875E-08;100,009446
36200;0,600099;1,473137;0,01473;-4,110188278617E-08;100,011188
36300;0,600114;1,473144;0,014729;-2,822405353875E-08;100,01427
36400;0,60013;1,473323;0,014731;-2,514936037201E-08;100,015962
36500;0,600158;1,473498;0,014732;-2,267888898899E-08;100,018192
36600;0,600135;1,47348;0,014733;-1,778729741275E-08;100,013333
36700;0,600103;1,473303;0,014732;-2,200579896083E-08;100,009673
36800;0,60011;1,473366;0,014732;-2,059252812714E-08;100,009266
36900;0,600075;1,473005;0,014729;-2,762583428684E-08;100,007669
37000;0,600105;1,473015;0,014729;-2,399748066928E-08;100,010432
37100;0,600083;1,472861;0,014727;-1,87154844955E-08;100,012129
37200;0,60006;1,472636;0,014726;-4,107965190236E-08;100,005645
37300;0,600048;1,47268;0,014726;-4,786312635119E-08;100,002761
37400;0,600055;1,472884;0,014728;-5,429931326795E-08;100,003503
37500;0,600039;1,472801;0,014728;-4,936558406499E-08;100,000853
37600;0,600056;1,472923;0,014729;-5,21476157811E-08;100,002234
37700;0,60004;1,472819;0,014728;-3,308373197619E-08;100,003024
37800;0,600037;1,472753;0,014727;-1,891535106324E-08;100,001402
37900;0,60002;1,472657;0,014727;-2,00908272241E-08;99,998971
38000;0,600044;1,472849;0,014729;1,18483467482E-09;99,998368
38100;0,60004;1,472875;0,014729;1,202355837115E-08;99,99748
38200;0,600064;1,472982;0,01473;1,895240187011E-08;99,999921
38300;0,600076;1,473052;0,014731;2,816009603279E-08;99,998407
38400;0,600072;1,473085;0,014731;1,301227392503E-08;99,998099
38500;0,600085;1,473226;0,014732;1,668116689224E-08;99,999325
38600;0,600043;1,47298;0,014731;-2,295114609474E-08;99,994456
