Tempo;Erro Little 60;Erro Little 80;Erro Little 95;Erro Little 99
16100;9,98236693306E-09;-2,334746573851E-08;1,433645380189E-08;-4,544227749648E-08
16200;1,654331072132E-08;-1,306080887886E-08;1,933321414072E-08;-4,38855494167E-08
16300;1,905156254978E-08;-8,46267145249E-09;1,969650753608E-08;-4,133886477575E-08
16400;9,63975610446E-09;-1,222978607274E-08;1,567101648448E-08;-3,536845838426E-08
16500;5,43403477771E-09;-1,125519277778E-08;2,009473121234E-08;-3,15291259767E-08
16600;4,25947366267E-09;-3,72537467541E-09;2,60640362626E-08;-3,580791485547E-08
16700;4,23052615162E-09;1,82956494399E-09;3,095816580867E-08;-2,898863726841E-08
16800;3,12352987919E-09;-2,99135516357E-09;2,994599768158E-08;-2,842820379101E-08
16900;-5,2774318249E-10;-2,32126673438E-09;3,911898360798E-08;-3,3087857787E-08
17000;-4,20348778007E-09;-6,590727963E-11;3,931700831572E-08;-3,326091757572E-08
17100;-2,90389934E-12;-2,04300087958E-09;3,776830226343E-08;-2,952940292289E-08
17200;-3,0468183532E-10;-5,6163651507E-10;3,285317617951E-08;-2,546373423229E-08
17300;4,5051748998E-09;2,89389712194E-09;2,905760254635E-08;-2,222358830295E-08
17400;1,009139927177E-08;2,42611841728E-09;3,127611947207E-08;-2,920315012034E-08
17500;1,133656279961E-08;-2,27094920646E-09;3,270600856808E-08;-3,280165117303E-08
17600;8,75224137609E-09;-7,0387429218E-10;3,939826243027E-08;-3,471488696505E-08
17700;1,05679753837E-09;-1,71736802557E-09;3,884316512881E-08;-2,503963969502E-08
17800;-7,7686990174E-10;4,2482417584E-10;4,279597831669E-08;-3,185249397575E-08
17900;-3,01134650549E-09;3,8482448339E-09;4,567765543584E-08;-2,785617425616E-08
18000;-2,21699170133E-09;5,5796967047E-10;3,903245726633E-08;-2,441161939259E-08
18100;5,2896953484E-10;2,82230949722E-09;4,323461766376E-08;-2,515611186027E-08
18200;1,8133028412E-10;3,41313644E-11;4,610517478909E-08;-2,776420160444E-08
18300;3,28015903328E-09;4,43327374811E-09;4,592354940769E-08;-2,336705051675E-08
18400;2,73328959466E-09;2,64913202486E-09;4,379383611308E-08;-2,686823563636E-08
18500;6,9597831942E-09;1,6212720055E-10;4,724154933911E-08;-2,653240471773E-08
18600;5,35357425058E-09;3,98190325157E-09;4,325076830014E-08;-3,358368871886E-08
18700;1,80955495033E-09;1,641481039982E-08;5,866698060686E-08;-2,11856132637E-08
18800;1,526433113241E-08;3,456662689416E-08;6,168955479779E-08;-2,232972917682E-08
18900;2,65372501751E-08;2,779557695121E-08;6,671426078242E-08;-8,13831491087E-09
19000;1,426693785334E-08;1,952004602401E-08;5,759103061109E-08;-5,653930657E-10
19100;-4,67327132547E-09;1,268246929698E-08;5,863173768716E-08;8,2468432083E-10
19200;-7,2845383059E-09;2,427369727442E-08;5,947836356768E-08;6,23600726612E-09
19300;-7,53292628275E-09;2,72191376105E-08;5,795209645498E-08;2,545567667767E-08
19400;-1,73080110244E-08;2,518414499164E-08;5,654502643893E-08;3,438015028223E-08
19500;-1,718861675215E-08;2,640036766977E-08;5,545041403821E-08;3,459093989022E-08
19600;-3,48120110516E-08;2,647320274107E-08;5,121563617649E-08;4,034269807107E-08
19700;-3,72740829313E-08;3,098045597838E-08;3,70751429557E-08;4,757723104376E-08
19800;-3,330980713478E-08;3,127148540116E-08;3,796995429184E-08;4,38968470462E-08
19900;-2,515498853661E-08;3,025272654611E-08;5,779791578675E-08;4,495649363889E-08
20000;-2,963446799065E-08;2,355270822818E-08;4,929908925533E-08;4,017607579954E-08
20100;-8,77878902905E-09;3,855795815966E-08;4,601482217481E-08;4,112534668366E-08
20200;-2,7847613104E-10;3,080294641578E-08;3,732122522138E-08;3,89321428429E-08
20300;1,69955849394E-09;1,469473032145E-08;3,664312231422E-08;3,953338989504E-08
20400;3,56501916876E-09;8,39813685261E-09;4,723510471649E-08;2,887176719923E-08
20500;-5,37980771E-11;3,59731799904E-09;3,93524288711E-08;2,47877522952E-08
20600;-4,05339162235E-09;5,67163915832E-09;3,85894374233E-08;1,619159206712E-08
20700;-8,75204397843E-09;6,98261226617E-09;4,119193164343E-08;1,078211653294E-08
20800;-1,80950943118E-09;4,04841093982E-09;3,79953704055E-08;1,875113753158E-08
20900;-8,07093281097E-09;1,169307983773E-08;3,911970836157E-08;2,308544821972E-08
21000;-8,57418247513E-09;1,786151138106E-08;3,71902260099E-08;1,437895491563E-08
21100;-3,82150688871E-09;2,235851059851E-08;3,814172799821E-08;1,379837044624E-08
21200;-2,24158780426E-09;4,36760938527E-09;3,718762542348E-08;1,933032933721E-08
21300;3,09484415872E-09;8,53327231098E-09;4,345849902165E-08;1,37079751994E-08
21400;6,2280358648E-10;8,24451840131E-09;4,242464868298E-08;7,06738489953E-09
21500;-5,56087709214E-09;6,48073683607E-09;3,61667318316E-08;3,91423782276E-09
21600;-4,70160355093E-09;5,29463628496E-09;3,95824422128E-08;9,14988618206E-09
21700;2,70156408355E-09;1,657787329634E-08;5,409995296191E-08;-2,01038119485E-09
21800;-5,07403408179E-09;8,44040970449E-09;4,072272119515E-08;-7,2486727731E-10
21900;-1,48112522247E-09;7,0075931724E-09;3,447757634945E-08;-2,94539859169E-09
22000;-1,35539690582E-09;-4,87565587903E-09;2,349036876126E-08;4,96774532621E-09
22100;-1,96476679371E-09;-7,0967498544E-10;1,91439752939E-08;-5,92831383983E-09
22200;1,444602037992E-08;-9,17849085624E-09;2,337711535461E-08;1,91697324681E-09
22300;2,095264917124E-08;-1,088702950014E-08;2,281529276615E-08;1,090668888537E-08
22400;2,759894290882E-08;-1,669968208162E-08;3,060368314323E-08;1,533602755899E-08
22500;1,200699206727E-08;-2,024280876256E-08;3,017696315055E-08;6,7302039497E-09
22600;1,270760985328E-08;-7,96184629337E-09;3,047794194799E-08;2,072066251912E-08
22700;1,456109011144E-08;7,3034422954E-10;2,049956293604E-08;2,149880629077E-08
22800;1,691854789598E-08;6,82943301911E-09;2,048535208132E-08;2,785412789308E-08
22900;1,315756437137E-08;-1,57188306815E-09;2,22986358267E-08;4,01180955123E-08
23000;1,470345978305E-08;2,68503486112E-09;2,108217245222E-08;4,178976098501E-08
23100;1,85244835027E-08;-4,4667385346E-09;3,05932097433E-08;5,243596490345E-08
23200;2,177746849519E-08;3,63921381918E-09;2,800520704227E-08;5,51928707182E-08
23300;2,420006595116E-08;2,80244893958E-09;1,813894456859E-08;5,478996456532E-08
23400;2,91359774085E-08;1,47450629484E-09;1,810706606875E-08;5,978149886232E-08
23500;2,599329285147E-08;5,18664533544E-09;1,223000722916E-08;6,950610043077E-08
23600;1,595122567366E-08;1,656793946481E-08;7,57919238481E-09;7,697303772147E-08
23700;1,814395678146E-08;2,062865567254E-08;3,89351484387E-09;8,192387213057E-08
23800;1,55010249081E-08;2,112295538481E-08;-2,43293385438E-09;7,949158487008E-08
23900;1,666191007388E-08;1,136959060233E-08;5,69910696413E-09;7,683976832595E-08
24000;1,426786688796E-08;1,385952907995E-08;9,16599418588E-09;7,932204937333E-08
24100;1,076901323671E-08;1,078921796349E-08;8,30800317431E-09;7,22700406186E-08
24200;7,11052106084E-09;1,077651923254E-08;1,452329456697E-08;7,296148396563E-08
24300;1,081095080124E-08;8,88147244638E-09;6,66267752081E-09;7,460805306891E-08
24400;1,20335410525E-08;-2,42076980683E-09;8,35006730426E-09;7,833388337986E-08
24500;1,604812349676E-08;-1,023688867008E-08;9,35981958605E-09;8,088308334209E-08
24600;1,941412963724E-08;-2,61793386969E-09;9,66777591316E-09;8,667686302033E-08
24700;1,60548181416E-08;4,01623134749E-09;1,617049605329E-08;8,008575491658E-08
24800;1,816304995295E-08;-3,8951104564E-09;5,82595660603E-09;8,284099806133E-08
24900;1,056155962686E-08;-6,59040022555E-09;1,1055334426E-10;8,414536978307E-08
25000;-5,6021609574E-10;-9,9764139172E-09;-6,51428777587E-09;8,291358710721E-08
25100;2,92743251862E-09;-3,38755956619E-09;-9,61549773137E-09;9,067288431197E-08
25200;5,2782622717E-10;8,77786865416E-09;-1,55086432585E-08;8,176694166195E-08
25300;-3,30743965549E-09;1,059138998727E-08;-1,453756581782E-08;8,013473973278E-08
25400;-1,341255351228E-08;2,99669578041E-09;-1,692539441933E-08;7,355426134836E-08
25500;-1,905913360467E-08;3,3798919219E-10;-7,85755105426E-09;7,874226071181E-08
25600;-1,787404624309E-08;-2,38884645398E-09;-1,3710845792E-09;8,276388996364E-08
25700;-1,590153386744E-08;2,40410980012E-09;-6,91106549766E-09;8,228519732256E-08
25800;-9,21853793301E-09;4,36990621466E-09;-4,00198985062E-09;8,292616371364E-08
25900;-5,59164936575E-09;-3,0725071376E-09;1,669775429E-10;7,842042748507E-08
26000;-7,85159448569E-09;-1,73263536851E-09;-5,1169273263E-09;7,05079941099E-08
26100;-5,26192867056E-09;-6,24132656668E-09;-3,46499007264E-09;7,512385025166E-08
26200;-1,37727045324E-08;-7,93722865211E-09;-1,13777787192E-09;8,050460564846E-08
26300;-8,0702171612E-09;-8,16327494491E-09;-1,177956576726E-08;8,416124330779E-08
26400;-6,46090314582E-09;-1,122032911027E-08;9,51069978328E-09;8,942143381319E-08
26500;-3,55636875504E-09;-2,043593738676E-08;5,49663070615E-09;9,451837001961E-08
26600;-1,37788513932E-09;-2,503733043113E-08;2,717555958043E-08;9,38317867849E-08
26700;-1,317640019316E-08;-1,577300023925E-08;4,428456534811E-08;1,038893913119E-07
26800;-1,8817725156E-10;-1,40575195928E-09;5,385919976675E-08;1,105326674633E-07
26900;1,288273132616E-08;1,05096469305E-08;5,33285700044E-08;9,970621306366E-08
27000;1,73477665566E-08;-9,5218721796E-10;5,341029307715E-08;9,787666499506E-08
27100;1,334026045186E-08;1,705446672773E-08;4,663457886522E-08;1,1230297047859E-07
27200;2,393816345148E-08;1,29792425696E-08;5,446813489129E-08;1,0387186932803E-07
27300;2,4477943672E-08;6,130607133E-11;5,562287697103E-08;1,1744687355986E-07
27400;3,303240347918E-08;1,233641766518E-08;7,443966865139E-08;1,2763771906066E-07
27500;3,567656503556E-08;8,71773897515E-09;7,662557521826E-08;1,2120482040245E-07
27600;3,2954795115E-08;1,494293844218E-08;6,848096134604E-08;1,1628003449005E-07
27700;3,31283804833E-08;1,370078184237E-08;7,956112924035E-08;1,1871289018472E-07
27800;2,314807501236E-08;-4,50104753469E-09;9,322405247758E-08;1,2515842229277E-07
27900;3,86266729713E-09;1,205349065003E-08;1,0020285756696E-07;1,345423896737E-07
28000;-1,08519260245E-09;-1,556850071083E-08;1,2124757375886E-07;1,3750353389241E-07
28100;-1,31968569406E-09;-1,397548610171E-08;1,2126471204965E-07;1,3498227247055E-07
28200;6,15637207879E-09;-1,804248928039E-08;1,4029416917083E-07;1,3130522802385E-07
28300;1,274357908088E-08;-2,300109303022E-08;1,3698696932352E-07;1,3418519984043E-07
28400;1,389934589646E-08;-2,713413005395E-08;1,4781526047614E-07;1,2829613638132E-07
28500;1,648298164625E-08;-3,713717822151E-08;1,3399256459934E-07;1,025969282864E-07
28600;1,591622877939E-08;-3,533559489455E-08;1,202733059813E-07;1,0002351302774E-07
28700;1,485364409248E-08;-3,708708495864E-08;1,1031126945227E-07;1,0444220777117E-07
28800;1,844320252076E-08;-2,301354173895E-08;1,1573042613122E-07;1,2074490030045E-07
28900;2,327741754904E-08;-2,636361662312E-08;1,1864171156617E-07;1,2635724999654E-07
29000;1,825930162624E-08;-3,711690688135E-08;1,2136402105511E-07;1,3197613668581E-07
29100;1,956695405703E-08;-2,226081452505E-08;1,0870598288193E-07;1,3287453271005E-07
29200;1,284889461495E-08;-3,930195591195E-08;9,332463335454E-08;1,1942539401844E-07
29300;1,730972898351E-08;-4,796238073368E-08;1,035784258363E-07;1,2467195631416E-07
29400;1,211586853067E-08;-3,738088016902E-08;9,277248835815E-08;1,2023517115267E-07
29500;1,234961133356E-08;-2,110409313971E-08;1,0299163832883E-07;1,1529486698691E-07
29600;2,08952921632E-09;-3,09101220175E-08;1,064738803791E-07;1,2671431193212E-07
29700;-1,420727024914E-08;-3,820908967E-08;1,0618513002214E-07;1,1315280801227E-07
