Tempo;Ocupação;E[N];E[W];Erro Little;Lambda;E[N] Chamada;E[W] Chamada;Erro Little Chamada
12900;0,962968;51892,371783;249,308435;-0,00000003810372106727;208,145271;27610,164406;255,129047;0,00000004122993324529
13000;0,963252;52377,501602;251,969317;-0,00000004159937461168;207,872538;27877,287215;258,251420;0,00000003373972923271
13100;0,963533;52835,949488;254,493922;-0,00000004342382453615;207,611832;28118,156296;261,115902;0,00000003067586895611
13200;0,963809;53245,512796;257,057054;-0,00000004903406036760;207,135000;28323,617407;264,190258;0,00000003291701489161
13300;0,964081;53628,233715;258,734703;-0,00000006761730730886;207,271128;28509,663106;265,589204;0,00000003221438049650
13400;0,964350;54016,957933;260,714252;-0,00000004711200318752;207,188358;28676,218399;267,333986;0,00000003213445332051
13500;0,964614;54427,134606;262,685231;-0,00000002967933809828;207,195259;28847,343771;268,957670;0,00000002877915328270
13600;0,964874;54796,740390;264,822969;-0,00000001459063625475;206,918382;28992,734612;271,011352;0,00000003563060957390
13700;0,965130;55120,951813;266,770564;-0,00000003956896676982;206,623066;29122,825424;272,954639;0,00000004236243356104
13800;0,965383;55394,927771;268,235318;-0,00000005607871145230;206,516159;29223,209748;274,165206;0,00000004572451040019
13900;0,965632;55658,260229;269,606199;-0,00000004411834098050;206,442806;29320,780911;275,279211;0,00000004740784831370
14000;0,965877;55927,714402;270,740305;-0,00000003629394740301;206,573286;29417,979673;275,849222;0,00000004464108194213
14100;0,966119;56182,044720;272,064649;-0,00000002363830375884;206,502553;29525,381867;277,022773;0,00000004335542769240
14200;0,966358;56438,347110;272,572054;-0,00000004228860817079;207,058451;29663,740694;276,884433;0,00000004960566180046
14300;0,966593;56735,265331;273,516619;-0,00000003145160221152;207,428951;29853,032727;277,689082;0,00000004235503503480
14400;0,966825;57034,634474;275,162973;-0,00000004412106591190;207,275833;30045,096521;279,892474;0,00000004150121668545
14500;0,967054;57307,375408;277,167562;-0,00000002968936740899;206,760759;30206,620966;282,766335;0,00000003913990198612
14600;0,967280;57520,465738;278,717539;-0,00000003538679038684;206,375479;30306,620896;284,709285;0,00000004008969334279
14700;0,967502;57723,541810;280,055627;-0,00000003174050533516;206,114558;30374,142255;286,059996;0,00000004170308898210
